Id,SalePrice
1461,127496.22
1462,164906.77
1463,192957.89
1464,198082.9
1465,186533.77
1466,172822.66
1467,173184.53
1468,161220.47
1469,173249.92
1470,128550.945
1471,198134.23
1472,96565.53
1473,97758.56
1474,150417.25
1475,117843.23
1476,376868.78
1477,264097.06
1478,282516.44
1479,256440.4
1480,493579.75
1481,322243.25
1482,203162.28
1483,176443.33
1484,169171.19
1485,180763.42
1486,194850.9
1487,332090.94
1488,240083.98
1489,211365.78
1490,223542.02
1491,191429.22
1492,94794.58
1493,181343.98
1494,291629.7
1495,294539.34
1496,230352.19
1497,181452.88
1498,166834.22
1499,158800.08
1500,154916.27
1501,175695.67
1502,151377.42
1503,312586.3
1504,234496.67
1505,218886.02
1506,178840.7
1507,252844.7
1508,194701.4
1509,159646.55
1510,145281.67
1511,148241.4
1512,168947.34
1513,149522.88
1514,163843.05
1515,204857.27
1516,155903.08
1517,156128.16
1518,134962.05
1519,223374.22
1520,134636.3
1521,137939.14
1522,170502.28
1523,119417.13
1524,122689.84
1525,126560.6
1526,117403.22
1527,110006.72
1528,133660.28
1529,155074.45
1530,175077.47
1531,106650.234
1532,96966.78
1533,146195.8
1534,123060.836
1535,152568.6
1536,104975.99
1537,73502.03
1538,154776.52
1539,190144.3
1540,100258.266
1541,139733.12
1542,140996.25
1543,214076.67
1544,81044.36
1545,108515.164
1546,126188.555
1547,138018.86
1548,136223.95
1549,112522.05
1550,138329.66
1551,108411.64
1552,142388.25
1553,147763.69
1554,109983.59
1555,171419.7
1556,83683.69
1557,108393.23
1558,91647.04
1559,78416.3
1560,121544.836
1561,137371.92
1562,131168.12
1563,118963.59
1564,166658.64
1565,147617.08
1566,254662.27
1567,78596.09
1568,216895.56
1569,150869.22
1570,140339.25
1571,117533.586
1572,148722.4
1573,247354.22
1574,108295.375
1575,223547.97
1576,255772.47
1577,200605.55
1578,145501.39
1579,151761.58
1580,190339.17
1581,159216.22
1582,126027.3
1583,336179.0
1584,226458.11
1585,140733.22
1586,72823.48
1587,96978.086
1588,149776.45
1589,98278.836
1590,135822.25
1591,91948.8
1592,114512.38
1593,123406.805
1594,136027.03
1595,117379.73
1596,250612.94
1597,184249.48
1598,204723.34
1599,169054.47
1600,171185.31
1601,67182.89
1602,116791.61
1603,68671.58
1604,277265.88
1605,243878.0
1606,171360.02
1607,163992.22
1608,219145.38
1609,193640.72
1610,153925.81
1611,131900.89
1612,163412.9
1613,165755.8
1614,121141.68
1615,85816.6
1616,71026.57
1617,93928.42
1618,123909.664
1619,144451.08
1620,150173.19
1621,136661.47
1622,140522.47
1623,270787.9
1624,212944.14
1625,122954.85
1626,159422.81
1627,196929.06
1628,283027.9
1629,177862.94
1630,354963.97
1631,214083.53
1632,241192.73
1633,172926.77
1634,191008.72
1635,170540.39
1636,151170.0
1637,193183.9
1638,186557.17
1639,183952.55
1640,247210.38
1641,173089.98
1642,230832.05
1643,218338.75
1644,223094.98
1645,201571.88
1646,155234.97
1647,161106.08
1648,128895.44
1649,139882.34
1650,119033.625
1651,124519.03
1652,95788.16
1653,96184.64
1654,149024.05
1655,139855.03
1656,144175.55
1657,151635.23
1658,150119.36
1659,123327.74
1660,164116.98
1661,464289.2
1662,411410.3
1663,395654.94
1664,473963.5
1665,315980.7
1666,325845.75
1667,369311.47
1668,342553.88
1669,299121.38
1670,354937.0
1671,264179.9
1672,440732.94
1673,286027.53
1674,248334.5
1675,193693.67
1676,191152.73
1677,220244.8
1678,483125.6
1679,387169.9
1680,366420.38
1681,254278.73
1682,300140.25
1683,178121.16
1684,172974.3
1685,173138.6
1686,171201.48
1687,171476.14
1688,189729.14
1689,194228.92
1690,190475.8
1691,182785.83
1692,257581.42
1693,164378.28
1694,180007.56
1695,167123.9
1696,285968.66
1697,174002.27
1698,357267.66
1699,322685.88
